time,time (hours,cost,sequence
"54 days, 10 hours",1306,157400,"[720, 480, 72, 24, 8, 1, 1]"
"54 days, 11 hours",1307,157650,"[720, 480, 72, 24, 8, 3]"
"54 days, 12 hours",1308,157900,"[720, 480, 72, 24, 8, 3, 1]"
"54 days, 13 hours",1309,158150,"[720, 480, 72, 24, 8, 3, 1, 1]"
"54 days, 14 hours",1310,158400,"[720, 480, 72, 24, 8, 3, 3]"
"54 days, 15 hours",1311,158650,"[720, 480, 72, 24, 8, 3, 3, 1]"
"54 days, 16 hours",1312,158700,"[720, 480, 72, 24, 8, 8]"
"54 days, 17 hours",1313,158950,"[720, 480, 72, 24, 8, 8, 1]"
"54 days, 18 hours",1314,159200,"[720, 480, 72, 24, 8, 8, 1, 1]"
"54 days, 19 hours",1315,159450,"[720, 480, 72, 24, 8, 8, 3]"
"54 days, 20 hours",1316,159700,"[720, 480, 72, 24, 8, 8, 3, 1]"
"54 days, 21 hours",1317,159900,"[720, 480, 72, 24, 24]"
"54 days, 22 hours",1318,159900,"[720, 480, 72, 24, 24]"
"54 days, 23 hours",1319,159900,"[720, 480, 72, 24, 24]"
"55 days, 0 hours",1320,159900,"[720, 480, 72, 24, 24]"
"55 days, 1 hours",1321,160000,"[720, 720]"
"55 days, 2 hours",1322,160000,"[720, 720]"
"55 days, 3 hours",1323,160000,"[720, 720]"
"55 days, 4 hours",1324,160000,"[720, 720]"
"55 days, 5 hours",1325,160000,"[720, 720]"
"55 days, 6 hours",1326,160000,"[720, 720]"
"55 days, 7 hours",1327,160000,"[720, 720]"
"55 days, 8 hours",1328,160000,"[720, 720]"
"55 days, 9 hours",1329,160000,"[720, 720]"
"55 days, 10 hours",1330,160000,"[720, 720]"
"55 days, 11 hours",1331,160000,"[720, 720]"
"55 days, 12 hours",1332,160000,"[720, 720]"
"55 days, 13 hours",1333,160000,"[720, 720]"
"55 days, 14 hours",1334,160000,"[720, 720]"
"55 days, 15 hours",1335,160000,"[720, 720]"
"55 days, 16 hours",1336,160000,"[720, 720]"
"55 days, 17 hours",1337,160000,"[720, 720]"
"55 days, 18 hours",1338,160000,"[720, 720]"
"55 days, 19 hours",1339,160000,"[720, 720]"
"55 days, 20 hours",1340,160000,"[720, 720]"
"55 days, 21 hours",1341,160000,"[720, 720]"
"55 days, 22 hours",1342,160000,"[720, 720]"
"55 days, 23 hours",1343,160000,"[720, 720]"
"56 days, 0 hours",1344,160000,"[720, 720]"
"56 days, 1 hours",1345,160000,"[720, 720]"
"56 days, 2 hours",1346,160000,"[720, 720]"
"56 days, 3 hours",1347,160000,"[720, 720]"
"56 days, 4 hours",1348,160000,"[720, 720]"
"56 days, 5 hours",1349,160000,"[720, 720]"
"56 days, 6 hours",1350,160000,"[720, 720]"
"56 days, 7 hours",1351,160000,"[720, 720]"
"56 days, 8 hours",1352,160000,"[720, 720]"
"56 days, 9 hours",1353,160000,"[720, 720]"
"56 days, 10 hours",1354,160000,"[720, 720]"
"56 days, 11 hours",1355,160000,"[720, 720]"
"56 days, 12 hours",1356,160000,"[720, 720]"
"56 days, 13 hours",1357,160000,"[720, 720]"
"56 days, 14 hours",1358,160000,"[720, 720]"
"56 days, 15 hours",1359,160000,"[720, 720]"
"56 days, 16 hours",1360,160000,"[720, 720]"
"56 days, 17 hours",1361,160000,"[720, 720]"
"56 days, 18 hours",1362,160000,"[720, 720]"
"56 days, 19 hours",1363,160000,"[720, 720]"
"56 days, 20 hours",1364,160000,"[720, 720]"
"56 days, 21 hours",1365,160000,"[720, 720]"
"56 days, 22 hours",1366,160000,"[720, 720]"
"56 days, 23 hours",1367,160000,"[720, 720]"
"57 days, 0 hours",1368,160000,"[720, 720]"
"57 days, 1 hours",1369,160000,"[720, 720]"
"57 days, 2 hours",1370,160000,"[720, 720]"
"57 days, 3 hours",1371,160000,"[720, 720]"
"57 days, 4 hours",1372,160000,"[720, 720]"
"57 days, 5 hours",1373,160000,"[720, 720]"
"57 days, 6 hours",1374,160000,"[720, 720]"
"57 days, 7 hours",1375,160000,"[720, 720]"
"57 days, 8 hours",1376,160000,"[720, 720]"
"57 days, 9 hours",1377,160000,"[720, 720]"
"57 days, 10 hours",1378,160000,"[720, 720]"
"57 days, 11 hours",1379,160000,"[720, 720]"
"57 days, 12 hours",1380,160000,"[720, 720]"
"57 days, 13 hours",1381,160000,"[720, 720]"
"57 days, 14 hours",1382,160000,"[720, 720]"
"57 days, 15 hours",1383,160000,"[720, 720]"
"57 days, 16 hours",1384,160000,"[720, 720]"
"57 days, 17 hours",1385,160000,"[720, 720]"
"57 days, 18 hours",1386,160000,"[720, 720]"
"57 days, 19 hours",1387,160000,"[720, 720]"
"57 days, 20 hours",1388,160000,"[720, 720]"
"57 days, 21 hours",1389,160000,"[720, 720]"
"57 days, 22 hours",1390,160000,"[720, 720]"
"57 days, 23 hours",1391,160000,"[720, 720]"
"58 days, 0 hours",1392,160000,"[720, 720]"
"58 days, 1 hours",1393,160000,"[720, 720]"
"58 days, 2 hours",1394,160000,"[720, 720]"
"58 days, 3 hours",1395,160000,"[720, 720]"
"58 days, 4 hours",1396,160000,"[720, 720]"
"58 days, 5 hours",1397,160000,"[720, 720]"
"58 days, 6 hours",1398,160000,"[720, 720]"
"58 days, 7 hours",1399,160000,"[720, 720]"
"58 days, 8 hours",1400,160000,"[720, 720]"
"58 days, 9 hours",1401,160000,"[720, 720]"
"58 days, 10 hours",1402,160000,"[720, 720]"
"58 days, 11 hours",1403,160000,"[720, 720]"
"58 days, 12 hours",1404,160000,"[720, 720]"
"58 days, 13 hours",1405,160000,"[720, 720]"
"58 days, 14 hours",1406,160000,"[720, 720]"
"58 days, 15 hours",1407,160000,"[720, 720]"
"58 days, 16 hours",1408,160000,"[720, 720]"
"58 days, 17 hours",1409,160000,"[720, 720]"
"58 days, 18 hours",1410,160000,"[720, 720]"
"58 days, 19 hours",1411,160000,"[720, 720]"
"58 days, 20 hours",1412,160000,"[720, 720]"
"58 days, 21 hours",1413,160000,"[720, 720]"
"58 days, 22 hours",1414,160000,"[720, 720]"
"58 days, 23 hours",1415,160000,"[720, 720]"
"59 days, 0 hours",1416,160000,"[720, 720]"
"59 days, 1 hours",1417,160000,"[720, 720]"
"59 days, 2 hours",1418,160000,"[720, 720]"
"59 days, 3 hours",1419,160000,"[720, 720]"
"59 days, 4 hours",1420,160000,"[720, 720]"
"59 days, 5 hours",1421,160000,"[720, 720]"
"59 days, 6 hours",1422,160000,"[720, 720]"
"59 days, 7 hours",1423,160000,"[720, 720]"
"59 days, 8 hours",1424,160000,"[720, 720]"
"59 days, 9 hours",1425,160000,"[720, 720]"
"59 days, 10 hours",1426,160000,"[720, 720]"
"59 days, 11 hours",1427,160000,"[720, 720]"
"59 days, 12 hours",1428,160000,"[720, 720]"
"59 days, 13 hours",1429,160000,"[720, 720]"
"59 days, 14 hours",1430,160000,"[720, 720]"
"59 days, 15 hours",1431,160000,"[720, 720]"
"59 days, 16 hours",1432,160000,"[720, 720]"
"59 days, 17 hours",1433,160000,"[720, 720]"
"59 days, 18 hours",1434,160000,"[720, 720]"
"59 days, 19 hours",1435,160000,"[720, 720]"
"59 days, 20 hours",1436,160000,"[720, 720]"
"59 days, 21 hours",1437,160000,"[720, 720]"
"59 days, 22 hours",1438,160000,"[720, 720]"
"59 days, 23 hours",1439,160000,"[720, 720]"
